,link,title
2864,http://pittsburghpa.gov/publicsafety/blotterview/2864,"Police Investigate Business Break-Ins, Vandalism on Saw Mill Run Boulevard - 07.03.2024"
2861,http://pittsburghpa.gov/publicsafety/blotterview/2861,UPDATE: Police Seek the Public's Help to Locate Missing and At Risk Male - 07.02.2024
2862,http://pittsburghpa.gov/publicsafety/blotterview/2862,Pittsburgh Bureau of Fire Saves Child from Ingram House Fire - 07.02.2024
2863,http://pittsburghpa.gov/publicsafety/blotterview/2863,UPDATE: Police Seek the Public's Assistance to Find a Missing Mother and Child - 07.02.2024
2860,http://pittsburghpa.gov/publicsafety/blotterview/2860,Police Investigate Shots Fired Incident Downtown - 07.01.2024
2859,http://pittsburghpa.gov/publicsafety/blotterview/2859,Police Investigate Collision Involving Pedestrian in Squirrel Hill - 06.30.2024
2858,http://pittsburghpa.gov/publicsafety/blotterview/2858,Special Victims Unit Detectives Search for Missing Boy - 06.30.2024
2857,http://pittsburghpa.gov/publicsafety/blotterview/2857,UPDATE: Police Search For Missing and At Risk Juvenile  - 06.29.2024
2856,http://pittsburghpa.gov/publicsafety/blotterview/2856,City Motorcycle Paramedic Struck by Vehicle Downtown  - 06.29.2024
2855,http://pittsburghpa.gov/publicsafety/blotterview/2855,Police Investigate Following Overnight Shooting in East Allegheny - 06.28.2024
2854,http://pittsburghpa.gov/publicsafety/blotterview/2854,Police Arrest Male Following Downtown Aggravated Assault  - 06.26.2024
2853,http://pittsburghpa.gov/publicsafety/blotterview/2853,Police Investigate Overnight Shooting in Lincoln-Lemington-Belmar - 06.25.2024
2852,http://pittsburghpa.gov/publicsafety/blotterview/2852,Police Investigate After Aggravated Assault Incident Injures Five - 06.24.2024
2851,http://pittsburghpa.gov/publicsafety/blotterview/2851,UPDATE: Police Searching for Missing Juvenile Girl - 06.23.2024
2850,http://pittsburghpa.gov/publicsafety/blotterview/2850,"Police Investigate Overnight Hill District Shooting, One Injured - 06.23.2024"
2848,http://pittsburghpa.gov/publicsafety/blotterview/2848,Pittsburgh Police Make Arrest in Arlington Heights Homicide - 06.22.2024
2849,http://pittsburghpa.gov/publicsafety/blotterview/2849,Child Transported to the Hospital after Falling Out of a Window - 06.22.2024
2847,http://pittsburghpa.gov/publicsafety/blotterview/2847,"UPDATE: River Rescue Dispatched for Stolen Yacht, One Arrested - 06.21.2024"
2846,http://pittsburghpa.gov/publicsafety/blotterview/2846,UPDATE: SVU Detectives Seek Assistance in Locating Missing Juvenile  - 06.20.2024
2845,http://pittsburghpa.gov/publicsafety/blotterview/2845,UPDATE: Pittsburgh Bureau of Fire Responds to 3-Alarm Fire in Elliott Neighborhood - 06.18.2024
2844,http://pittsburghpa.gov/publicsafety/blotterview/2844,UPDATE: Two Arrested Following Overnight Carjacking in Garfield - 06.18.2024
2843,http://pittsburghpa.gov/publicsafety/blotterview/2843,Pittsburgh Police Investigate Afternoon Shots Fired Incident in East Hills - 06.17.2024
2842,http://pittsburghpa.gov/publicsafety/blotterview/2842,"Police Arrest Two, Recover Firearms and Stolen Vehicle on the South Side  - 06.17.2024"
2841,http://pittsburghpa.gov/publicsafety/blotterview/2841,Police Investigate Armed Business Robbery in Central Oakland - 06.17.2024
2840,http://pittsburghpa.gov/publicsafety/blotterview/2840,Police Investigate Following Fatal Overnight Shooting in Arlington Heights - 06.17.2024
2839,http://pittsburghpa.gov/publicsafety/blotterview/2839,UPDATE: Police Ask for the Public's Help to Find Missing Woman - 06.16.2024
2838,http://pittsburghpa.gov/publicsafety/blotterview/2838,"Police, Fire, and EMS Respond to Overnight Vehicle vs. Bicyclist Collision on Fort Duquesne Boulevard - 06.15.2024"
2837,http://pittsburghpa.gov/publicsafety/blotterview/2837,UPDATE/CORRECTION: Suspect Arrested in Recent Business Robberies in Pittsburgh - 06.13.2024
2836,http://pittsburghpa.gov/publicsafety/blotterview/2836,UPDATE: Detectives Search for Missing and Endangered Teen  - 06.12.2024
2835,http://pittsburghpa.gov/publicsafety/blotterview/2835,Pittsburgh Police Investigate Fatal Overnight Stabbing in Crawford-Roberts - 06.12.2024
2834,http://pittsburghpa.gov/publicsafety/blotterview/2834,UPDATE: Detectives Seek the Public's Assistance to Locate Missing Male - 06.11.2024
2833,http://pittsburghpa.gov/publicsafety/blotterview/2833,Pittsburgh Police Attempt to Identify Male Displaying Inappropriate Conduct Toward Women - 06.11.2024
2832,http://pittsburghpa.gov/publicsafety/blotterview/2832,Police Investigate Armed Business Robbery in Oakland - 06.10.2024
2831,http://pittsburghpa.gov/publicsafety/blotterview/2831,Police Investigate Following Fatal Shooting in Uptown - 06.09.2024
2828,http://pittsburghpa.gov/publicsafety/blotterview/2828,Police Arrest Male for Home Invasions in Knoxville - 06.08.2024
2830,http://pittsburghpa.gov/publicsafety/blotterview/2830,UPDATE: Police Arrest Three Following Hill District Carjacking - 06.08.2024
2827,http://pittsburghpa.gov/publicsafety/blotterview/2827,Police Investigate Armed Robbery in East Liberty - 06.08.2024
2826,http://pittsburghpa.gov/publicsafety/blotterview/2826,Public Safety Bureaus Execute Complicated Hillside Rescue  - 06.08.2024
2825,http://pittsburghpa.gov/publicsafety/blotterview/2825,Police Investigate Possible Robbery Threat at Fast Food Restaurant - 06.07.2024
2824,http://pittsburghpa.gov/publicsafety/blotterview/2824,UPDATE/CORRECTION: Pittsburgh Police Investigate After Gun Brought to Pre-School - 06.06.2024
2823,http://pittsburghpa.gov/publicsafety/blotterview/2823,UPDATE 2: Police Investigate Shooting inside Carrick Residence  - 06.06.2024
2821,http://pittsburghpa.gov/publicsafety/blotterview/2821,Fire Investigators Seek the Public's Assistance to Solve Suspicious Fires at Beltzhoover Property - 06.05.2024
